reaction number,reaction,reaction rate,description,simplified_reaction
374,Tumor.[T7b=PD1] + Tumor.[C7b=PDL2] <-> Tumor.[T7b=PD1:PDL2=C7b],[kon_PD1_PDL2]*Tumor.[T7b=PD1]*Tumor.[C7b=PDL2]/[V_T:C_7] - [koff_PD1_PDL2]*Tumor.[T7b=PD1:PDL2=C7b],Interaction at the immunological synapse between PD-L2 expressed by the T7 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.[KE] + zeta.[BN] <-> zeta.[KE:PDL2=C7b]
375,Tumor.[T7b=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T7b=PD1]+[T7b=PD1:aPD1]+[T7b=PD1:PDL2=C7b]),PD-1 expression threshold by the Effector T cells interacting with the T7 subtype of cancer cells in the tumor,zeta.[KE] -> null
376,Tumor.[T8a=PD1] + Tumor.[C8a=PDL1] <-> Tumor.[T8a=PD1:PDL1=C8a],[kon_PD1_PDL1]*Tumor.[T8a=PD1]*Tumor.[C8a=PDL1]/[V_T:C_8] - [koff_PD1_PDL1]*Tumor.[T8a=PD1:PDL1=C8a],Interaction at the immunological synapse between PD-L1 expressed by the T8 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.[KH] + zeta.[BO] <-> zeta.[KH:PDL1=C8a]
377,Tumor.[T8a=PD1] + Tumor.[C8b=PDL2] <-> Tumor.[T8a=PD1:PDL2=C8b],[kon_PD1_PDL2]*Tumor.[T8a=PD1]*Tumor.[C8b=PDL2]/[V_T:C_8] - [koff_PD1_PDL2]*Tumor.[T8a=PD1:PDL2=C8b],Interaction at the immunological synapse between PD-L2 expressed by the T8 subtype of cancer cells and PD-1 on the complementary Effector T cells in the tumor,zeta.[KH] + zeta.[BP] <-> zeta.[KH:PDL2=C8b]
378,Tumor.[T8a=PD1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T8a=PD1]+[T8a=PD1:aPD1]+[T8a=PD1:PDL1=C8a]+[T8a=PD1:PDL2=C8b]),PD-1 expression threshold by the Effector T cells interacting with the T8 subtype of cancer cells in the tumor,zeta.[KH] -> null
379,Tumor.[T8b=CD80] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T8b=CD80]+[T8b=CD80:PDL1=C8a]),CD80 expression threshold by the Effector T cells interacting with the T8 subtype of cancer cells in the tumor,zeta.[KL] -> null
380,Tumor.[T9=PDL1] + Tumor.[C9b=CD80] <-> Tumor.[T9=PDL1-CD80=C9b],[kon_PDL1_CD80]*Tumor.[T9=PDL1]*Tumor.[C9b=CD80]/[V_T:C_9] - [koff_PDL1_CD80]*Tumor.[T9=PDL1-CD80=C9b],Interaction at the immunological synapse between CD80 expressed by the T9 subtype of cancer cells and PD-L1 on the complementary Effector T cells in the tumor,zeta.[KN] + zeta.[BS] <-> zeta.[KN-CD80=C9b]
381,Tumor.[T9=PDL1] + Tumor.PDL1_mabt <-> Tumor.[T9=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.[T9=PDL1]*Tumor.PDL1_mabt/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T9=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells interacting with the T9 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.[KN] + zeta.GI <-> zeta.[KN:aPDL1]
382,Tumor.[T9=PDL1] -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.[T9=PDL1]+[T9=PDL1:aPDL1]+[T9=PDL1-PD1=C9a]+[T9=PDL1-CD80=C9b]),PD-L1 expression threshold by the Effector T cells interacting with the T9 subtype of cancer cells in the tumor,zeta.[KN] -> null
383,Tumor.APC_T -> null,kf_RestingMacrophage*Tumor.APC_T,Turnover of resting macrophages,zeta.AB -> null
384,Tumor.C_DebrisT + Tumor.APC_T -> Tumor.mAPC_T,Phago_Debris*Tumor.C_DebrisT*Tumor.APC_T,Phagocytosis of tumor debris by resting APCs in the lymph node,zeta.CN + zeta.AB -> zeta.NC
385,Tumor.C_DebrisT -> Lymph_Node.C_DebrisLN,Debris_Transport*Tumor.C_DebrisT*(1/[Num_TDLN_Considered])*(1-[mAPC_Debis_T_Inact]),Transport of tumor debris from the tumor to the lymph node,zeta.CN -> delta.CM
386,Tumor.C_DebrisT -> null,Debris_Decay*Tumor.C_DebrisT,Decay of tumor debris in the tumor,zeta.CN -> null
387,Tumor.C_DebrisT -> null,Debris_Transport*Tumor.C_DebrisT*[mAPC_Debis_T_Inact],The distribution of tumor debris away from any of the considered lymph nodes,zeta.CN -> null
388,Tumor.C_DebrisT -> null,Debris_Transport*Tumor.C_DebrisT*(1-1/[Num_TDLN_Considered]),Accounting for the distribution of tumor debris from the tumor to the lymph nodes other than the lymph node compartment in the model,zeta.CN -> null
389,Tumor.Cancer -> (AntSpread) Tumor.C_DebrisT,kf_CanDecay*Tumor.Cancer,Natural turnover of cancer cells in the tumor,zeta.CO -> (AntSpread) zeta.CN
390,Tumor.CD80_mAPCT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_mAPCT+[CTLA4:CD80_TrAT]),CD80 expression threshold by the mAPCs interacting with the T Regulatory cells in the tumor,zeta.BV -> null
391,Tumor.CD80_TeffT + Tumor.PDL1_TregT <-> Tumor.[PDL1:CD80_TrTeff],[kon_PDL1_CD80]*Tumor.CD80_TeffT*Tumor.PDL1_TregT/[Vol_Cell-Rec_Tr-TeffT] -[koff_PDL1_CD80]*Tumor.[PDL1:CD80_TrTeff],Interaction at the immunological synapse between CD80 expressed by the Effector T cells and PD-L1 on the T Regulatory cells in the tumor,zeta.BT + zeta.FZ <-> zeta.[FP]
392,Tumor.CD80_TeffT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_TeffT+[PDL1:CD80_TrTeff]),CD80 expression threshold by the Effector T cells interacting with the T Regulatory cells in the tumor,zeta.BT -> null
393,Tumor.CD80_TeffT1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD80_TeffT1+[PDL1:CD80_MDSCT]),CD80 expression threshold by the Effector T cells interacting with the MDSCs in the tumor,zeta.BU -> null
394,Tumor.CD86_mAPCT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.CD86_mAPCT+[CTLA4:CD86_TrAT]),CD86 expression threshold by the mAPCs interacting with the T Regulatory cells in the tumor,zeta.BW -> null
395,Tumor.CTLA4_mabt <-> Lymph_Node.CTLA4_mab,Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Tumor.CTLA4_mabt/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const(1.43/1.63)*Lymph_Node.CTLA4_mab/(VL),Flow of Anti-CTLA-4 mAb between the tumor and lymph node,zeta.CJ <-> delta.CD
396,Tumor.CTLA4_TregT + Tumor.CD80_mAPCT <-> Tumor.[CTLA4:CD80_TrAT],[kon_CTLA4_CD80]*Tumor.CTLA4_TregT*Tumor.CD80_mAPCT/[Vol_Cell-Rec_Tr-APCT] -[koff_CTLA4_CD80]*Tumor.[CTLA4:CD80_TrAT],Interaction at the immunological synapse between CD80 expressed by the mAPCs and CTLA-4 on the T Regulatory cells in the tumor,zeta.CA + zeta.BV <-> zeta.[BX]
397,Tumor.CTLA4_TregT + Tumor.CD86_mAPCT <-> Tumor.[CTLA4:CD86_TrAT],[kon_CTLA4_CD86]*Tumor.CTLA4_TregT*Tumor.CD86_mAPCT/[Vol_Cell-Rec_Tr-APCT] -[koff_CTLA4_CD86]*Tumor.[CTLA4:CD86_TrAT],Interaction at the immunological synapse between CD86 expressed by the mAPCs and CTLA-4 on the T Regulatory cells in the tumor,zeta.CA + zeta.BW <-> zeta.[BY]
398,Tumor.CTLA4_TregT + Tumor.CTLA4_mabt <-> Tumor.[CTLA4_CTLA4-Trt],kon_CTLA4mAb_CTLA4*Tumor.CTLA4_TregT*Tumor.CTLA4_mabt/Vt -koff_CTLA4mAb_CTLA4*Tumor.[CTLA4_CTLA4-Trt],Interaction at the immunological synapse between CTLA-4 expressed by the T Regulatory cells and Anti-CTLA-4 in the tumor,zeta.CA + zeta.CJ <-> zeta.[BZ]
399,Tumor.CTLA4_TregT -> null,[Exp_CTLA4]*(Tumor.CTLA4_TregT+[CTLA4:CD80_TrAT]+[CTLA4:CD86_TrAT]+[CTLA4_CTLA4-Trt]),CTLA-4 expression threshold by the T Regulatory cells interacting with the mAPCs in the tumor,zeta.CA -> null
400,Tumor.Effector_TT -> null,EffT_Turnover*Tumor.Effector_TT,Turnover of Effector T cells in the tumor,zeta.EA -> null
401,Tumor.Effector_TT -> null,EffT_Res_Conversion*Tumor.Effector_TT*(1-TheEnd)*.9,Apoptosis of Effector T cells following complete cancer cell death in the tumor,zeta.EA -> null
402,Tumor.Effector_TT -> Tumor.Effector_TT_Res,EffT_Res_Conversion*Tumor.Effector_TT*(1-TheEnd)*.1,Conversion of Effector T cells into Resident Effector Memory cells following complete cancer cell death in the tumor,zeta.EA -> zeta.Effector_TT_Res
403,Tumor.Effector_TT_C_Eng + Tumor.Cancer1 -> Tumor.Effector_TT_C_Eng + Tumor.TC1 + Tumor.Cancer1,CancerTEng * Tumor.Cancer1 * ((Tumor.Effector_TT_C_Eng/(Tumor.Cancer1+1E-100*mole))^gamma_TC_Assoc)/(s_Assoc + (Tumor.Effector_TT_C_Eng/(Tumor.Cancer1+1E-100*mole))^gamma_TC_Assoc),Association of Effector T cells with cancer cells in the tumor,zeta.EB + zeta.CP -> zeta.EB + zeta.KQ + zeta.CP
404,Tumor.EffT_AR_Vasc -> null,EffT_Turnover*Tumor.EffT_AR_Vasc,Turnover of arrested Effector T cells in Tumor vasculature,zeta.DG -> null
405,Tumor.EffT_AR_Vasc -> Tumor.Effector_TT,J_Tmr*Tumor.EffT_AR_Vasc,Extravasation of arrested Effector T cells into Tumor interstitium,zeta.DG -> zeta.EA
406,Tumor.EffT_b_Vasc -> null,EffT_Turnover*Tumor.EffT_b_Vasc,Turnover of bound Effector T cells in Tumor vasculature,zeta.DU -> null
407,Tumor.EffT_b_Vasc -> Tumor.EffT_AR_Vasc,AR_Tmr*Tumor.EffT_b_Vasc,Arrest of bound Effector T cells in the Tumor vasculature,zeta.DU -> zeta.DG
408,Tumor.EffT_b_Vasc -> Tumor.EffT_f_Vasc,kr_Tmr*Tumor.EffT_b_Vasc,Detachment of bound Effector T cells in the Tumor vasculature,zeta.DU -> zeta.DW
409,Tumor.EffT_f_Vasc + Tumor.Tmr_Free_Sites -> Tumor.EffT_b_Vasc + Tumor.Tmr_Free_Sites,kf_Tmr*Tmr_Free_Sites*Tumor.EffT_f_Vasc/Vv_Tmr,Binding or free Effector T cells to the Tumor vasculature,zeta.DW + zeta.KV -> zeta.DU + zeta.KV
410,Tumor.EffT_f_Vasc -> Lungs.EffT_f_LungsVasc,(QC_Tmr - LC_Tmr)*Tumor.EffT_f_Vasc/Vv_Tmr,Trafficking of free Effector T cells from the Tumor vasculature to the Lungs vasculature,zeta.DW -> beta.DV
411,Tumor.EffT_f_Vasc -> null,EffT_Turnover*Tumor.EffT_f_Vasc,Turnover of free Effector T cells in Tumor vasculature,zeta.DW -> null
412,Tumor.mAPC_T -> Lymph_Node.mAPC,mAPC_Migrate*Tumor.mAPC_T*(1/[Num_TDLN_Considered])*(1-[mAPC_Debis_T_Inact]),Transport of mAPCs from the tumor to the lymph node,zeta.NC -> delta.ML
413,Tumor.mAPC_T -> null,mAPC_Migrate*Tumor.mAPC_T*(1-1/[Num_TDLN_Considered]),Accounting for the distribution of mAPCs from the tumor to the lymph nodes other than the lymph node compartment in the model,zeta.NC -> null
414,Tumor.mAPC_T -> null,mAPC_Migrate*Tumor.mAPC_T*[mAPC_Debis_T_Inact],The distribution of mAPCs away from any of the considered lymph nodes,zeta.NC -> null
415,Tumor.mAPCT_EngTregT -> Tumor.CD80_mAPCT + Tumor.mAPCT_EngTregT,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.mAPCT_EngTregT*([CD80_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),CD80 expression by mAPCs interacting with the T Regulatory cells in the tumor,zeta.MN -> zeta.BV + zeta.MN
416,Tumor.mAPCT_EngTregT -> Tumor.CD86_mAPCT + Tumor.mAPCT_EngTregT,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.mAPCT_EngTregT*([CD86_receptors-per-mAPC]/[Avagadro's_Num])*(1/Tr_cells_per_mAPC),CD86 expression by mAPCs interacting with the T Regulatory cells in the tumor,zeta.MN -> zeta.BW + zeta.MN
417,Tumor.MDSC_T + Tumor.Effector_TT_MDSCs -> Tumor.MDSCsT_Teff + Tumor.Effector_TT_MDSCs + Tumor.MDSC_T,TregTMDSCEng*Tumor.Effector_TT_MDSCs*((Tumor.MDSC_T/(Tumor.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc)/( s_Assoc + (Tumor.MDSC_T/( Tumor.Effector_TT_MDSCs + 1E-100*mole))^gamma_TC_Assoc),Association of Effector T cells with MDSCs in the tumor,zeta.EG + zeta.Effector_TT_MDSCs -> zeta.EI + zeta.Effector_TT_MDSCs + zeta.EG
418,Tumor.MDSCsT_EngTeff -> Tumor.PD1_MDSCsT + Tumor.MDSCsT_EngTeff,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.MDSCsT_EngTeff*([PD1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),PD-1 expression by MDSCs interacting with the Effector T cells in the tumor,zeta.EH -> zeta.EY + zeta.EH
419,Tumor.MDSCsT_EngTeff -> Tumor.PDL1_MDSCsT + Tumor.MDSCsT_EngTeff,[Exp_CD28/80/86/PD1/L1/L2]*Tumor.MDSCsT_EngTeff*([PDL1_receptors-per-Tcell]/[Avagadro's_Num])*(1/T_per_Tr_cell),PD-L1 expression by MDSCs interacting with the Effector T cells in the tumor,zeta.EH -> zeta.FW + zeta.EH
420,Tumor.MDSCsT_Teff + Tumor.Effector_TT -> null,[Treg:T_IntTime]*Tumor.MDSCsT_Teff*[Sig_MDSCTeff=Total],Dissociation of MDSCs from Effector T cells with inactivation of the latter in the tumor,zeta.EI + zeta.EA -> null
421,Tumor.MDSCsT_Teff -> null,[Treg:T_IntTime]*Tumor.MDSCsT_Teff*(1-[Sig_MDSCTeff=Total]),Dissociation of MDSCs from Effector T cells without inactivation of the latter in the tumor,zeta.EI -> null
422,Tumor.PD1_mabt <-> Lymph_Node.PD1_mab,Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Tumor.PD1_mabt/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Lymph_Node.PD1_mab/(VL),Distribution of Anti-PD-1 mAb between Tumor and Lymph Node,zeta.FK <-> delta.FD
423,Tumor.PD1_mabt + Tumor.[C14a=PD1] <-> Tumor.[C14a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C14a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C14a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T14 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[AO] <-> zeta.[AO:aPD1]
424,Tumor.PD1_mabt + Tumor.[C2=PD1] <-> Tumor.[C2=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C2=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C2=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T2 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[BC] <-> zeta.[BC:aPD1]
425,Tumor.PD1_mabt + Tumor.[C7a=PD1] <-> Tumor.[C7a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C7a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C7a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T7 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[BL] <-> zeta.[BL:aPD1]
426,Tumor.PD1_mabt + Tumor.[C9a=PD1] <-> Tumor.[C9a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[C9a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[C9a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the T9 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[BQ] <-> zeta.[BQ:aPD1]
427,Tumor.PD1_mabt + Tumor.[T10b=PD1] <-> Tumor.[T10b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T10b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T10b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T10 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[HO] <-> zeta.[HO:aPD1]
428,Tumor.PD1_mabt + Tumor.[T11b=PD1] <-> Tumor.[T11b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T11b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T11b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T11 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[HW] <-> zeta.[HW:aPD1]
429,Tumor.PD1_mabt + Tumor.[T12b=PD1] <-> Tumor.[T12b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T12b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T12b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T12 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[IB] <-> zeta.[IB:aPD1]
430,Tumor.PD1_mabt + Tumor.[T14b=PD1] <-> Tumor.[T14b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T14b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T14b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T14 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[IN] <-> zeta.[IN:aPD1]
431,Tumor.PD1_mabt + Tumor.[T7b=PD1] <-> Tumor.[T7b=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T7b=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T7b=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T7 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[KE] <-> zeta.[KE:aPD1]
432,Tumor.PD1_mabt + Tumor.[T8a=PD1] <-> Tumor.[T8a=PD1:aPD1],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.[T8a=PD1]/Vt - [koff_PD1-PD1mAb]*Tumor.[T8a=PD1:aPD1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T8 subtype of cancer cells and Anti-PD-1 in the tumor,zeta.FK + zeta.[KH] <-> zeta.[KH:aPD1]
433,Tumor.PD1_mabt + Tumor.PD1_TeffT <-> Tumor.[PD1:aPD1_Teff],[kon_PD1-PD1mAb]*Tumor.PD1_mabt*Tumor.PD1_TeffT/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_Teff],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the T Regulatory cells and Anti-PD-1 in the tumor,zeta.FK + zeta.EZ <-> zeta.[EV]
434,Tumor.PD1_MDSCsT + Tumor.PD1_mabt <-> Tumor.[PD1:aPD1_MDSCs],[kon_PD1-PD1mAb]*Tumor.PD1_MDSCsT*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_MDSCs],Interaction at the immunological synapse between PD-1 expressed by the MDSCs interacting with Effector T cells and Anti- PD-1 in the tumor,zeta.EY + zeta.FK <-> zeta.[EU]
435,Tumor.PD1_MDSCsT + Tumor.PDL1_TeffT1 <-> Tumor.[PD1:PDL1_MDSCT],[kon_PD1_PDL1]*Tumor.PD1_MDSCsT*Tumor.PDL1_TeffT1/[Vol_Cell-Rec_MDSC-TeffT] - [koff_PD1_PDL1]*Tumor.[PD1:PDL1_MDSCT],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells and PD-1 on the MDSCs in the tumor,zeta.EY + zeta.FY <-> zeta.[ES]
436,Tumor.PD1_MDSCsT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.PD1_MDSCsT+[PD1:PDL1_MDSCT]+[PD1:aPD1_MDSCs]),PD-1 expression threshold by the MDSCs interacting with the Effector T cells in the tumor,zeta.EY -> null
437,Tumor.PD1_TeffT + Tumor.PDL1_TregT <-> Tumor.[PDL1:PD1_TrTeff],[kon_PD1_PDL1]*Tumor.PD1_TeffT*Tumor.PDL1_TregT/[Vol_Cell-Rec_Tr-TeffT] - [koff_PD1_PDL1]*Tumor.[PDL1:PD1_TrTeff],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells and PD-L1 on the T Regulatory cells in the tumor,zeta.EZ + zeta.FZ <-> zeta.[FR]
438,Tumor.PD1_TeffT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.PD1_TeffT+[PDL1:PD1_TrTeff]+[PD1:aPD1_Teff]),PD-1 expression threshold by the Effector T cells interacting with the T Regulatory cells in the tumor,zeta.EZ -> null
439,Tumor.PD1_TeffT1 + Tumor.PD1_mabt <-> Tumor.[PD1:aPD1_Teff1],[kon_PD1-PD1mAb]*Tumor.PD1_TeffT1*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_Teff1],Interaction at the immunological synapse between PD-1 expressed by the Effector T cells interacting with the MDSCs and Anti-PD-1 in the tumor,zeta.FA + zeta.FK <-> zeta.[EW]
440,Tumor.PD1_TeffT1 -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.PD1_TeffT1+[PDL1:PD1_MDSCT]+[PD1:aPD1_Teff1]),PD-1 expression threshold by the Effector T cells interacting with the MDSCs in the tumor,zeta.FA -> null
441,Tumor.PD1_TregT + Tumor.PD1_mabt <-> Tumor.[PD1:aPD1_Treg],[kon_PD1-PD1mAb]*Tumor.PD1_TregT*Tumor.PD1_mabt/Vt - [koff_PD1-PD1mAb]*Tumor.[PD1:aPD1_Treg],Interaction at the immunological synapse between PD-1 expressed by the T Regulatory cells interacting with the Effector T cells and Anti-PD-1 in the tumor,zeta.FB + zeta.FK <-> zeta.[EX]
442,Tumor.PD1_TregT -> null,[Exp_CD28/80/86/PD1/L1/L2]*(Tumor.PD1_TregT+[PD1:PDL1_TrTeff]+[PD1:aPD1_Treg]),PD-1 expression threshold by the T Regulatory cells interacting with the Effector T cells in the tumor,zeta.FB -> null
443,Tumor.PDL1_mabt <-> Lymph_Node.PDL1_mab,Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Tumor.PDL1_mabt/(Vt_Teff*Tumor_Void_Fraction)-Kpa_TB*S_TB*Vt_avg_const*(1.43/1.63)*Lymph_Node.PDL1_mab/(VL),Distribution of Anti-PD-L1 mAb between Tumor and Lymph Node,zeta.GI <-> delta.GB
444,Tumor.PDL1_mabt + Tumor.[C3=PDL1] <-> Tumor.[C3=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.PDL1_mabt*Tumor.[C3=PDL1]/Vt - [koff_PDL1-PDL1mAb]*Tumor.[C3=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the T3 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.GI + zeta.[BE] <-> zeta.[BE:aPDL1]
445,Tumor.PDL1_mabt + Tumor.[T13a=PDL1] <-> Tumor.[T13a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.PDL1_mabt*Tumor.[T13a=PDL1]/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T13a=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells interacting with the T13 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.GI + zeta.[IE] <-> zeta.[IE:aPDL1]
446,Tumor.PDL1_mabt + Tumor.[T2=PDL1] <-> Tumor.[T2=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.PDL1_mabt*Tumor.[T2=PDL1]/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T2=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells interacting with the T2 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.GI + zeta.[JI] <-> zeta.[JI:aPDL1]
447,Tumor.PDL1_mabt + Tumor.[T7a=PDL1] <-> Tumor.[T7a=PDL1:aPDL1],[kon_PDL1-PDL1mAb]*Tumor.PDL1_mabt*Tumor.[T7a=PDL1]/Vt - [koff_PDL1-PDL1mAb]*Tumor.[T7a=PDL1:aPDL1],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells interacting with the T7 subtype of cancer cells and Anti-PD-L1 in the tumor,zeta.GI + zeta.[KC] <-> zeta.[KC:aPDL1]
448,Tumor.PDL1_mabt + Tumor.PDL1_TeffT <-> Tumor.[PDL1:aPDL1_Teff],[kon_PDL1-PDL1mAb]*Tumor.PDL1_mabt*Tumor.PDL1_TeffT/Vt - [koff_PDL1-PDL1mAb]*Tumor.[PDL1:aPDL1_Teff],Interaction at the immunological synapse between PD-L1 expressed by the Effector T cells interacting with the T Regulatory cells and Anti-PD-L1 in the tumor,zeta.GI + zeta.FX <-> zeta.[FT]
